pk,vm,na,k,cl,x
1.3010299956639813,0.024309323434877097,0.024472089367102583,0.11464407898972842,0.03276607640091628,0.1251177552422527
1.3010299956639813,0.024337143668490303,0.02447672339517022,0.11464086536978617,0.03278359476779584,0.12509881646724774
1.3010299956639813,0.024364950182879326,0.024481270826869572,0.11463773743016555,0.032801101836766135,0.12507988990619873
1.3010299956639813,0.0244139826513392,0.024461401569683044,0.11465979152846127,0.032828048210447006,0.12505075869140864
1.3010299956639813,0.02444176735690169,0.024465774497927684,0.11465683691155422,0.03284554071694308,0.12503184787357502
1.3010299956639813,0.02446953861022528,0.024470061971891464,0.11465396685238148,0.0328630221660331,0.12501294900969395
1.3010299956639813,0.024497296494066324,0.024474264352730778,0.11465118099573506,0.03288049263107902,0.12499406202045517
1.3010299956639813,0.024525041090847396,0.024478381999935874,0.11464847898805755,0.032897952185252384,0.12497518682675421
1.3010299956639813,0.02455277248265963,0.024482415271338365,0.11464586047743476,0.03291540090153518,0.12495632334969169
1.3010299956639813,0.024580490751263166,0.02448636452312089,0.11464332511358609,0.03293283885271967,0.12493747151057337
1.3010299956639813,0.024608195978089175,0.02449023010982485,0.11464087254785699,0.032950266111409096,0.12491863123090902
1.3010299956639813,0.02463588824424082,0.02449401238435942,0.11463850243320961,0.03296768275001779,0.12489980243241314
1.3010299956639813,0.024663567630494647,0.02449771169800996,0.11463621442421477,0.032985088840771545,0.12488098503700369
1.3010299956639813,0.024691234217302422,0.024501328400445898,0.11463400817704396,0.03300248445570826,0.12486217896680189
1.3010299956639813,0.02471888808479163,0.024504862839730097,0.11463188334945999,0.033019869666677804,0.12484338414413211
1.3010299956639813,0.02474652931276767,0.0245083153623262,0.11462983960080972,0.03303724454534286,0.12482460049152125
1.3010299956639813,0.024795479220984105,0.024487341704169628,0.11465299677406593,0.03306417456490511,0.12479548695685933
1.3010299956639813,0.02482310099732144,0.024490629621935222,0.11465111662620232,0.03308153706036342,0.12477671669149902
1.3010299956639813,0.02485071038729512,0.024493836697937352,0.11464931650120967,0.03309888945614692,0.12475795734470603
1.3010299956639813,0.024878307469371426,0.024496963272121173,0.11464759606489035,0.03311623182314167,0.12473920883984678
1.3010299956639813,0.024905892321701557,0.024500009682875263,0.11464595498458814,0.03313356423204859,0.12472047110048799
1.3010299956639813,0.024933465022122216,0.024502976267040635,0.11464439292917958,0.03315088675338351,0.12470174405039627
1.3010299956639813,0.024961025648157675,0.024505863359917904,0.11464290956906682,0.033168199457477836,0.12468302761353743
1.3010299956639813,0.024988574277020312,0.024508671295276244,0.11464150457616798,0.03318550241447874,0.12466432171407704
1.3010299956639813,0.025016110985612735,0.024511400405360408,0.11464017762391121,0.033202795694349786,0.12464562627637857
1.3010299956639813,0.02504363585052833,0.024514051020899597,0.11463892838722509,0.033220079366871054,0.12462694122500426
1.3010299956639813,0.025071148948053273,0.02451662347111456,0.11463775654253194,0.033237353501639845,0.12460826648471365
1.3010299956639813,0.025098650354167164,0.024519118083726178,0.11463666176773897,0.03325461816807087,0.12458960198046394
1.3010299956639813,0.025126140144544937,0.024521535184962702,0.11463564374223165,0.03327187343539676,0.12457094763740889
1.3010299956639813,0.025153618394557563,0.024523875099568132,0.11463470214686448,0.033289119372668444,0.12455230338089891
1.3010299956639813,0.025181085179274025,0.02452613815080924,0.11463383666395471,0.03330635604875571,0.12453366913648034
1.3010299956639813,0.02520854057346189,0.024528324660484123,0.11463304697727376,0.03332358353234735,0.12451504482989477
1.3010299956639813,0.02523598465158898,0.02453043494892939,0.1146323327720397,0.033340801891951814,0.1244964303870791
1.3010299956639813,0.025263417487824874,0.024532469335027608,0.11463169373491,0.0333580111958977,0.12447782573416466
1.3010299956639813,0.025290839156041522,0.024534428136215654,0.1146311295539736,0.03337521151233384,0.12445923079747691
1.3010299956639813,0.025318249729815338,0.024536311668491333,0.11463063991874357,0.03339240290923023,0.12444064550353483
1.3010299956639813,0.02534564928242761,0.024538120246421866,0.1146302245201493,0.03340958545437796,0.12442206977905086
1.3010299956639813,0.02537303788686659,0.024539854183150488,0.11462988305052982,0.0334267592153901,0.1244035035509296
1.3010299956639813,0.025400415615828037,0.02454151379040472,0.11462961520362518,0.033443924259701815,0.12438494674626828
1.3010299956639813,0.025427782541717063,0.024543099378503037,0.11462942067457031,0.03346108065457102,0.12436639929235564
1.3010299956639813,0.025455138736648883,0.02454461125636294,0.11462929915988668,0.03347822846707871,0.12434786111667168
1.3010299956639813,0.02548248427245057,0.02454604973150761,0.1146292503574759,0.03349536776412951,0.12432933214688699
1.3010299956639813,0.02550981922066174,0.02454741511007394,0.11462927396661138,0.033512498612451994,0.12431081231086272
1.3010299956639813,0.02553714365253641,0.024548707696819008,0.11462936968793229,0.03352962107859938,0.12429230153664932
1.3010299956639813,0.025564457639043508,0.024549927795128212,0.11462953722343523,0.033546735228949597,0.12427379975248694
1.3010299956639813,0.025591761250869028,0.024551075707021388,0.11462977627646831,0.03356384112970627,0.12425530688680403
1.3010299956639813,0.025619054558416204,0.024552151733161137,0.11463008655172256,0.03358093884689863,0.12423682286821768
1.3010299956639813,0.025646337631807726,0.024553156172858838,0.11463046775522621,0.033598028446382495,0.12421834762553242
1.3010299956639813,0.025673610540886127,0.0245540893240827,0.11463091959433676,0.033615109993840264,0.12419988108774026
1.3010299956639813,0.025700873355215766,0.02455495148346389,0.11463144177773468,0.03363218355478181,0.12418142318401962
1.3010299956639813,0.02572812614408332,0.02455574294630437,0.11463203401541547,0.033649249194544636,0.12416297384373551
1.3010299956639813,0.025755368976499406,0.02455646400658342,0.11463269601868373,0.033666306978294466,0.12414453299643838
1.3010299956639813,0.02578260192119987,0.024557114956964464,0.11463342750014571,0.03368335697102581,0.12412610057186402
1.3010299956639813,0.025809825046646605,0.024557696088802386,0.11463422817370264,0.033700399237562254,0.12410767649993273
1.3010299956639813,0.025815494284984877,0.024582590849224893,0.11460991311907645,0.03370754894238345,0.12409994708931521
1.3010299956639813,0.02584269183315143,0.024583033439636717,0.11461085038658549,0.033724567190073815,0.12408154898370398
1.3010299956639813,0.025869879752310303,0.02458340703967419,0.11461185603226803,0.03374157788728786,0.12406315904076987
1.3010299956639813,0.025897058109891402,0.02458371193568447,0.11461292977497993,0.03375858109819447,0.12404477719114111
1.3010299956639813,0.02592422697305621,0.024583948412739205,0.11461407133483871,0.03377557688679375,0.12402640336562833
