z,vm,na,k,cl,x
-0.5334734734734732,-0.06559590695344188,0.01078254867637799,0.09458075281514525,0.006709599808874617,0.18492709869960208
-0.5284784784784784,-0.06544516553613473,0.010721901292421846,0.09404877513500663,0.006747552002678947,0.18548177156989254
-0.5234834834834832,-0.0652926885607265,0.010660902668856902,0.09351371650363692,0.006786159557534377,0.1860392212699718
-0.5184884884884884,-0.0651384453592602,0.010599550540421424,0.092975557050951,0.006825439084639773,0.18659945332398775
-0.5134934934934932,-0.06498240454786074,0.010537842652404598,0.09243427699941269,0.006865407742798139,0.18716247260538454
-0.5084984984984984,-0.06482453400695729,0.0104757767624793,0.09188985668011128,0.006906083260319951,0.18772828329708946
-0.5035035035035031,-0.06466480086093848,0.01041335064265041,0.09134227654985139,0.006947483957938954,0.18829688884955925
-0.49850850850850836,-0.06450317145722817,0.010350562081325346,0.0907915172093149,0.006989628772792533,0.18886829193656723
-0.49351351351351314,-0.064339611344771,0.010287408885514314,0.09023755942236095,0.00703253728352123,0.1894424944086035
-0.48851851851851835,-0.0641740852519166,0.010223888883167942,0.08968038413653069,0.007076229736545212,0.19001949724375616
-0.4835235235235231,-0.06400655706369264,0.010159999925660539,0.08911997250482963,0.0071207270735785455,0.19059930049593132
-0.47852852852852834,-0.0638369897984573,0.010095739890427731,0.0885563059088641,0.007166050960445442,0.19118190324026274
-0.47353353353353356,-0.06366534558392344,0.010031106683767934,0.08798936598341467,0.007212223817265976,0.19176730351555138
-0.46853853853853833,-0.0634915856325468,0.009966098243817204,0.08741913464253066,0.007259268850082787,0.19235549826356935
-0.46354354354354355,-0.06331567021627335,0.009900712543708336,0.08684559410724049,0.007307210084003653,0.1929464832650475
-0.4585485485485483,-0.06313755864064115,0.009834947594925003,0.08626872693497314,0.007356072397939268,0.19354025307216258
-0.45355355355355353,-0.06295720921823529,0.009768801450863094,0.08568851605079693,0.0074058815610194475,0.1941368009373205
-0.4485585585585583,-0.06277457924149539,0.009702272210611495,0.08510494478058313,0.007456664270775733,0.19473611873802965
-0.4435635635635635,-0.06258962495487867,0.009635358022965902,0.08451799688621388,0.007508448193182727,0.19533819689763748
-0.4385685685685683,-0.06240230152638406,0.009568057090689747,0.08392765660295738,0.0075612620046555,0.19594302430169735
-0.4335735735735735,-0.06221256301844553,0.009500367675037202,0.08333390867914228,0.007615135436105499,0.19655058820971502
-0.4285785785785783,-0.06202036235820801,0.00943228810055444,0.08273673841827245,0.007670099319162484,0.1971608741620106
-0.4235835835835835,-0.06182565130720177,0.009363816760175926,0.08213613172373004,0.007726185634675722,0.19777386588141832
-0.4185885885885883,-0.061628380430437016,0.009294952120633781,0.0815320751462245,0.0077834275636133165,0.19838954516952834
-0.4135935935935935,-0.061428499064945935,0.009225692728199501,0.08092455593415691,0.007841859540484204,0.19900789179715933
-0.40859859859859826,-0.06122595528780461,0.009156037214778054,0.08031356208707517,0.007901517309413943,0.1996288833887328
-0.4036036036036035,-0.06102069588367521,0.009085984304376014,0.0796990824124105,0.007962437983011182,0.2002524953002023
-0.39860860860860825,-0.06081266631191578,0.009015532819966537,0.07908110658569427,0.00802466010416848,0.2008787004901707
-0.39361361361361347,-0.06060181067331441,0.008944681690775301,0.07845962521446792,0.008088223710947529,0.20150746938380926
-0.38861861861861824,-0.06038807167651356,0.008873429960013047,0.0778346299061101,0.008153170404705671,0.20213876972917116
